"Module","Endpoint","Methods","Auth","Allowed Roles","Scope / Rules","Source"
"Authentication","/api/auth/register/","POST","AllowAny","guest","Register new user (owner externally)","backend/apps/authentication/urls.py + views.py"
"Authentication","/api/auth/login/","POST","AllowAny","guest","Login by username_or_email + password, returns JWT","backend/apps/authentication/urls.py + views.py"
"Authentication","/api/auth/login/refresh/","POST","AllowAny","guest","Refresh access token using refresh token","backend/apps/authentication/urls.py"
"Authentication","/api/auth/logout/","POST","IsAuthenticated","all authenticated","Blacklist refresh token if provided","backend/apps/authentication/views.py"
"Authentication","/api/auth/me/","GET","IsAuthenticated","all authenticated","Get current user profile","backend/apps/authentication/views.py"
"Authentication","/api/auth/change-password/","POST","IsAuthenticated","all authenticated","Change current user password","backend/apps/authentication/views.py"
"Authentication","/api/auth/verify-email/","GET","AllowAny","guest","Endpoint exists in urls (view expects uid/token variant)","backend/apps/authentication/urls.py + views.py"
"Authentication","/api/auth/verify-email/{uidb64}/{token}/","GET","AllowAny","guest","Verify user email","backend/apps/authentication/urls.py + views.py"
"Authentication","/api/auth/password-reset-request/","POST","AllowAny","guest","Request password reset email","backend/apps/authentication/urls.py + views.py"
"Authentication","/api/auth/password-reset-confirm/{uidb64}/{token}/","POST","AllowAny","guest","Confirm password reset","backend/apps/authentication/urls.py + views.py"
"Authentication","/api/auth/phone-login/","POST","Default permission (no explicit class)","implementation placeholder","Placeholder endpoint","backend/apps/authentication/services/phone_auth.py"
"Authentication","/api/auth/verify-otp/","POST","Default permission (no explicit class)","implementation placeholder","Placeholder endpoint","backend/apps/authentication/services/phone_auth.py"
"Authentication","/api/auth/enable-2fa/","POST","Default permission (no explicit class)","implementation placeholder","Placeholder endpoint","backend/apps/authentication/services/two_factor.py"
"Authentication","/api/auth/verify-2fa/","POST","Default permission (no explicit class)","implementation placeholder","Placeholder endpoint","backend/apps/authentication/services/two_factor.py"
"Authentication","/api/auth/google-login/","POST","Default permission (no explicit class)","implementation placeholder","Placeholder endpoint","backend/apps/authentication/services/google_auth.py"
"Accounts","/api/accounts/users/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Each role sees scoped users only","backend/apps/accounts/views.py"
"Accounts","/api/accounts/users/","POST","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Can create only lower roles and within scope","backend/apps/accounts/views.py"
"Accounts","/api/accounts/users/{id}/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Scoped by get_queryset","backend/apps/accounts/views.py"
"Accounts","/api/accounts/users/{id}/","PUT,PATCH","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Cannot edit same/higher role; scope checks apply","backend/apps/accounts/views.py"
"Accounts","/api/accounts/users/{id}/","DELETE","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Cannot delete same/higher role; scope checks apply","backend/apps/accounts/views.py"
"Restaurants","/api/restaurants/restaurants/","GET","IsAuthenticated","superadmin, admin, owner","Owner sees own restaurant only","backend/apps/restaurants/views.py"
"Restaurants","/api/restaurants/restaurants/","POST","IsAuthenticated","superadmin, admin","Create restaurant","backend/apps/restaurants/views.py"
"Restaurants","/api/restaurants/restaurants/{id}/","GET","IsAuthenticated","superadmin, admin, owner","Owner only own restaurant","backend/apps/restaurants/views.py"
"Restaurants","/api/restaurants/restaurants/{id}/","PUT,PATCH","IsAuthenticated","superadmin, admin, owner","Owner may update own restaurant","backend/apps/restaurants/views.py"
"Restaurants","/api/restaurants/restaurants/{id}/","DELETE","IsAuthenticated","superadmin, admin","Blocked if restaurant has branches","backend/apps/restaurants/views.py"
"Branches","/api/restaurants/branches/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager","Scoped per role","backend/apps/restaurants/views.py"
"Branches","/api/restaurants/branches/","POST","IsAuthenticated","superadmin, admin, owner","Owner can create only under own restaurant","backend/apps/restaurants/views.py"
"Branches","/api/restaurants/branches/{id}/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager","Scoped per role","backend/apps/restaurants/views.py"
"Branches","/api/restaurants/branches/{id}/","PUT,PATCH","IsAuthenticated","superadmin, admin, owner, branch_manager","Branch manager only own branch","backend/apps/restaurants/views.py"
"Branches","/api/restaurants/branches/{id}/","DELETE","IsAuthenticated","superadmin, admin, owner","Owner only own restaurant; blocked if branch has tables with order sessions","backend/apps/restaurants/views.py"
"Tables","/api/restaurants/tables/","GET","IsAuthenticated","all authenticated except kitchen roles","Waiter limited to resolved waiter branch","backend/apps/restaurants/views.py"
"Tables","/api/restaurants/tables/","POST","IsAuthenticated","all authenticated except kitchen roles","Waiter can create only in own branch","backend/apps/restaurants/views.py"
"Tables","/api/restaurants/tables/{id}/","GET","IsAuthenticated","all authenticated except kitchen roles","Waiter limited to own branch","backend/apps/restaurants/views.py"
"Tables","/api/restaurants/tables/{id}/","PUT,PATCH","IsAuthenticated","all authenticated except kitchen roles","Waiter can update only own branch","backend/apps/restaurants/views.py"
"Tables","/api/restaurants/tables/{id}/","DELETE","IsAuthenticated","all authenticated except kitchen roles","Waiter can delete only own branch","backend/apps/restaurants/views.py"
"Kitchens","/api/kitchens/kitchens/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Scoped per role","backend/apps/kitchens/views.py"
"Kitchens","/api/kitchens/kitchens/","POST","IsAuthenticated","superadmin, admin, owner, branch_manager","Owner/branch manager scope enforced","backend/apps/kitchens/views.py"
"Kitchens","/api/kitchens/kitchens/{id}/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Scoped per role","backend/apps/kitchens/views.py"
"Kitchens","/api/kitchens/kitchens/{id}/","PUT,PATCH","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Kitchen manager can update own kitchen only","backend/apps/kitchens/views.py"
"Kitchens","/api/kitchens/kitchens/{id}/","DELETE","IsAuthenticated","superadmin, admin, owner, branch_manager","No kitchen_manager delete","backend/apps/kitchens/views.py"
"Menu Categories","/api/menu/categories/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager, chef","Scoped per role","backend/apps/menu/views.py"
"Menu Categories","/api/menu/categories/","POST","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Write scope enforced by kitchen","backend/apps/menu/views.py"
"Menu Categories","/api/menu/categories/{id}/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager, chef","Scoped per role","backend/apps/menu/views.py"
"Menu Categories","/api/menu/categories/{id}/","PUT,PATCH","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Chef has read-only behavior","backend/apps/menu/views.py"
"Menu Categories","/api/menu/categories/{id}/","DELETE","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Chef has read-only behavior","backend/apps/menu/views.py"
"Menu Items","/api/menu/items/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager, chef","Scoped per role","backend/apps/menu/views.py"
"Menu Items","/api/menu/items/","POST","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Write scope enforced by kitchen/category","backend/apps/menu/views.py"
"Menu Items","/api/menu/items/{id}/","GET","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager, chef","Scoped per role","backend/apps/menu/views.py"
"Menu Items","/api/menu/items/{id}/","PUT,PATCH","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Chef has read-only behavior","backend/apps/menu/views.py"
"Menu Items","/api/menu/items/{id}/","DELETE","IsAuthenticated","superadmin, admin, owner, branch_manager, kitchen_manager","Chef has read-only behavior","backend/apps/menu/views.py"
"Order Sessions","/api/orders/sessions/","GET","IsAuthenticated","all authenticated except kitchen roles","Waiter limited to own branch; others broad by current code","backend/apps/orders/views.py"
"Order Sessions","/api/orders/sessions/","POST","IsAuthenticated","all authenticated except kitchen roles","Creates or reuses active session for table; waiter scoped to branch","backend/apps/orders/views.py"
"Order Sessions","/api/orders/sessions/{id}/","GET","IsAuthenticated","all authenticated except kitchen roles","Scoped by queryset","backend/apps/orders/views.py"
"Order Sessions","/api/orders/sessions/{id}/","PUT,PATCH","IsAuthenticated","all authenticated except kitchen roles","No extra custom role checks in update","backend/apps/orders/views.py"
